t_and_o_map  europe continent europa_regina 
mediterranean_tropical-like_cyclone  tropical_cyclone hurricane european_windstorm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone weather_system depression_(weather) cyclogenesis subtropical_cyclone low_pressure_system extratropical_transition_technique nor%27easter tropical_cyclogenesis centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane australian_east_coast_low genoa_low icelandic_low kona_storm polar_vortex colorado_low 
russian_empire  united_states world_war_i crimean_war europe moscow borders_of_the_continents ural_mountains caucasus_mountains caspian_sea asia russian_federation world_population renaissance_exploration modern_era age_of_discovery world_war soviet_union belarus kazakhstan vatican_city federation phoenicia anatolia boundaries_between_continents azerbaijan bulgaria denmark estonia finland germany georgia_(country) greece hungary latvia lithuania moldova poland russia serbia sweden turkey ukraine armenia baltic_sea muscovy tanais history_of_europe greeks phoenicians achaemenid_empire roman_empire augustus carolingian_empire slavs byzantine_empire sasanids asia_minor caucasus umayyad_caliphate umayyad frankish_empire holy_roman_empire serbian_empire kiev maritime_republics crusades ottoman_empire mongol_invasion_of_europe turkic_peoples slavic_peoples mongol_invasion_of_rus tatars golden_horde ivan_the_terrible pandemic list_of_epidemics early_modern_period grand_duchy_of_lithuania polish%e2%80%93lithuanian_commonwealth crimean_khanate kazakh_khanate modern_history french_revolution napoleon grande_arm%c3%a9e reign_of_terror napoleonic_wars battle_of_waterloo napoleonic_empire nation_state congress_of_vienna great_power prussia austrian_empire revolutions_of_1848 austro-hungarian_empire ausgleich nation-states russian_empire habsburg_empire serbian_revolution greek_war_of_independence balkan_wars congress_of_berlin interwar_period world_war_ii history_of_the_european_union wilhelm_ii franz_joseph_i_of_austria archduke_franz_ferdinand_of_austria entente_powers central_powers austria-hungary german_empire russian_revolution communist treaty_of_versailles russian_civil_war stalin kulak gulag great_purge the_great_war mussolini kingdom_of_italy turkish_republic nazi_germany empire_of_japan british_empire joseph_stalin decolonisation republic capital_city yerevan baku minsk tallinn helsinki tbilisi astana riga vilnius chi%c8%99in%c4%83u warsaw bucharest capital_(political) abkhazia sukhumi stepanakert south_ossetia tskhinvali transnistria tiraspol akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
baltic_assembly  europe soviet_union iron_curtain warsaw_pact revolutions_of_1989 berlin_wall european_integration estonia latvia lithuania politics_of_europe visegr%c3%a1d_group 
megalithic  europe malta iberia nebra_sky_disk burial_mound iberian_peninsula 
carolingian_renaissance  europe classical_antiquity middle_ages franks alcuin christianity early_middle_ages carolingian_empire renaissance charlemagne frankish_empire charles_martel carolingian high_middle_ages renaissance_of_the_12th_century 
papacy  europe classical_antiquity renaissance_humanism albania san_marino eastern_orthodox christianity early_middle_ages renaissance croats history_of_islam_in_southern_italy carolingian holy_roman_empire late_middle_ages crusades reconquista protestant_reformation rome quattrocento protestant mussolini 
child_labour  europe industrial_revolution democracy trade_union 
third_crusade  europe middle_ages cyprus holy_roman_empire high_middle_ages crusades fourth_crusade france_in_the_middle_ages operation_barbarossa nicosia belgrade 
peace_of_westphalia  europe germany spain switzerland adriatic_sea history_of_europe rhine city_states holy_roman_empire early_modern_period protestant_reformation protestant thirty_years_war nation_state balance_of_power_(international_relations) prussia nation-states refugee southern_europe 
crete  crimean_war mediterranean_tropical-like_cyclone europe demonym mediterranean_sea classical_antiquity ancient_greece western_civilization ancient_history world_war europa_(mythology) greek_mythology ancient_greek phoenicia athena greece malta adriatic_sea aegean_sea anaximander herodotus ptolemy history_of_europe bronze_age mediterranean_coast minoan_civilization greeks phoenicians parthenon athens athenian_democracy aristotle socrates plato thucydides homer sophocles euripides hippocrates galen pythagoras euclid archimedes goths umayyad_caliphate umayyad maritime_republics fall_of_constantinople ottoman_empire greek_war_of_independence geography_of_europe southern_europe deforestation olive neolithic cretan_dwarf_hippopotamus dwarf_elephant mediterranean mollusc dolphin nicosia 
